Department,faculty name
Earth Sciences,Abdullatif Qahwash
Earth Sciences,Dr. Bassam S Tawabini
Earth Sciences,Mohammad Ali Bin Bahauddin Qurban
Earth Sciences,Aldo Vesnaver
Earth Sciences,Abdullah Abdulaziz Alshuhail
Earth Sciences,Giulio Vignoli
Earth Sciences,Giovanni Michele Menanno
Earth Sciences,Ayman Fazea Saleh Al-Lehyani
Earth Sciences,Khalid Ahmed Muhammed Abdulrahman
Earth Sciences,Panteleimon Soupios
Finance & Economics,Zohair A. Yamani
Finance & Economics,Dr. Mubarak Al-Buraik Al-Ghamdi
Finance & Economics,Dr. Mohsen A. Al-Hajji
Finance & Economics,Dr. Ibrahim M. Algahtani
Finance & Economics,Hasn H Al-Abandi
Finance & Economics,Usamah Ahmed Uthman
Finance & Economics,Dr. Ali Habib Al-Elg
Finance & Economics,Dr. Mansur Masih
Finance & Economics,Dr Mohamed Aly Ramady
Finance & Economics,Dr. Yakubu Al-Haji Umar
Finance & Economics,Abdullah Mohammed AL Mansour
Finance & Economics,Monzurul Hoque
Finance & Economics,Omar Al-Titi
Finance & Economics,Musa Essayyad
Finance & Economics,Mohammed F. Alzahrani
Finance & Economics,Dr. Ashraf Galal Eid
Finance & Economics,Dr. Imad Jabir
Finance & Economics,Muhammad A. H. Musa
Finance & Economics,Mohammed A. Al-Sahlawi
Finance & Economics,Reza Fathollahzadeh Aghdam
Finance & Economics,Dr. Talat Ulussever
Finance & Economics,Dr. Khaled M. Albinali
Finance & Economics,Nabil Ghalleb
Finance & Economics,Bassam Hamdan
Finance & Economics,Fahad Assadi Alsubaie
Finance & Economics,Dr. Mohammad Sayed Hasan
Finance & Economics,Muhammad Saifur Rahman
Finance & Economics,Ahmed Ali Abdel Alim Khalifa
Finance & Economics,Ibrahim Naeem A. Al-Naeem
Finance & Economics,Hesham Jamil Merdad
Finance & Economics,Abdulmohsen Fahad Mohammad Bin Dawood
Finance & Economics,Boubacar Siddy Diallo
Information and Computer Science,Dr. Talal H. Maghrabi
Information and Computer Science,Husni Al-Muhtaseb
Information and Computer Science,Jaweed Yazdani
Information and Computer Science,Muhammad Waheed Aslam
Information and Computer Science,I Putu Danu Raharja
Information and Computer Science,Yaman Khaeruzzaman
Information and Computer Science,Moshood Omolade Saliu
Information and Computer Science,Mohammad Alshayeb
Information and Computer Science,Tarek Ahmed Helmy Elbasuny
Information and Computer Science,Khalid A. El-Badawi
Information and Computer Science,Mamdouh M. Najjar
Information and Computer Science,El-Sayed El-Alfy
Information and Computer Science,Murtaza Ali Khan
Information and Computer Science,Saquib Razak
Information and Computer Science,Ashraf E. Al-Fagih
Information and Computer Science,Muhammed Al-Mulhem
Information and Computer Science,Dr. Ishtiaq Ahmed Choudhry
Information and Computer Science,Fahad Al-Gahtani
Information and Computer Science,khalid azeem
Information and Computer Science,Jauhar Ali
Information and Computer Science,Dodi Ahmed
Information and Computer Science,Ahmed A. Bahjat
Information and Computer Science,Abdullah K. Al-Zamel
Information and Computer Science,Shouki Abdullah Abbad
Information and Computer Science,Faisal Alvi
Information and Computer Science,Hamoud Aljamaan
Information and Computer Science,Ebrahim Malalla
Information and Computer Science,"Al-Hashim, Amin G."
Information and Computer Science,Dr. Mahmoud Elish
Information and Computer Science,Khaled Salah
Information and Computer Science,Dr. Kanaan Abed Faisal
Information and Computer Science,Dr. Farag Azzedin
Information and Computer Science,Dr. Nasir A-Darwish
Information and Computer Science,Bashir Mohammed Ghandi
Information and Computer Science,Dr. Mohamed Balah
Information and Computer Science,mkrishna
Information and Computer Science,Sultan Almuhammadi
Information and Computer Science,sahl
Information and Computer Science,said
Information and Computer Science,Dr. Sabri A. Mahmoud
Information and Computer Science,Dr. Abdallah Al-Sukairi
Information and Computer Science,M.H.Al-Suwaiyel
